bus slots time
10 10 0.0
10 20 0.0
10 50 0.0
10 100 0.0
10 200 0.0
10 500 0.0
10 1000 0.0
100 10 0.0
100 20 0.0
100 50 0.0
100 100 0.0
100 200 0.0
100 500 0.1
100 1000 0.2
200 10 0.0
200 20 0.0
200 50 0.0
200 100 0.0
200 200 0.1
200 500 0.2
200 1000 0.6
500 10 0.0
500 20 0.0
500 50 0.0
500 100 0.1
500 200 0.5
500 500 2.2
500 1000 1.3
1000 10 0.0
1000 20 0.0
1000 50 0.1
1000 100 0.3
1000 200 1.0
1000 500 5.4
1000 1000 12.5
2000 10 0.0
2000 20 0.1
2000 50 0.2
2000 100 0.7
2000 200 2.1
2000 500 11.4
2000 1000 11.6
5000 10 0.1
5000 20 0.2
5000 50 0.7
5000 100 1.9
5000 200 6.0
5000 500 28.6
5000 1000 12.0
