size,solutionFound,time
4,1,5.4836273193359375e-05
4,1,9.34600830078125e-05
4,0,6.794929504394531e-05
4,1,0.00010180473327636719
4,0,6.151199340820312e-05
4,0,4.57763671875e-05
4,0,4.4345855712890625e-05
4,1,0.00011134147644042969
4,1,6.461143493652344e-05
4,1,8.153915405273438e-05
4,0,4.6253204345703125e-05
4,1,0.00010442733764648438
4,1,8.320808410644531e-05
4,0,4.649162292480469e-05
4,1,5.936622619628906e-05
4,1,8.249282836914062e-05
4,1,7.557868957519531e-05
4,0,4.38690185546875e-05
4,0,5.698204040527344e-05
4,1,6.198883056640625e-05
4,1,5.14984130859375e-05
4,1,8.249282836914062e-05
4,1,0.00010180473327636719
4,1,9.202957153320312e-05
4,1,6.604194641113281e-05
4,1,6.270408630371094e-05
4,0,4.38690185546875e-05
4,1,5.793571472167969e-05
4,1,0.00012111663818359375
4,1,9.107589721679688e-05
4,1,5.173683166503906e-05
4,0,4.2438507080078125e-05
4,1,8.177757263183594e-05
4,0,5.435943603515625e-05
4,0,5.555152893066406e-05
4,1,0.0001289844512939453
4,1,9.1552734375e-05
4,0,5.5789947509765625e-05
4,1,6.461143493652344e-05
4,1,4.887580871582031e-05
4,0,7.653236389160156e-05
4,1,4.792213439941406e-05
4,1,4.935264587402344e-05
4,0,4.5299530029296875e-05
4,1,0.00010943412780761719
4,1,9.775161743164062e-05
4,1,0.00011420249938964844
4,0,4.267692565917969e-05
4,1,7.867813110351562e-05
4,0,5.316734313964844e-05
4,0,4.482269287109375e-05
4,1,6.151199340820312e-05
4,1,0.00012350082397460938
4,0,3.123283386230469e-05
4,1,6.079673767089844e-05
4,1,7.2479248046875e-05
4,1,7.295608520507812e-05
4,1,0.0001232624053955078
4,1,5.888938903808594e-05
4,1,4.935264587402344e-05
4,0,5.9604644775390625e-05
4,1,5.173683166503906e-05
4,0,4.863739013671875e-05
4,1,7.939338684082031e-05
4,0,5.793571472167969e-05
4,1,8.273124694824219e-05
4,1,0.00010824203491210938
4,1,9.274482727050781e-05
4,0,6.0558319091796875e-05
4,0,4.363059997558594e-05
4,0,4.7206878662109375e-05
