stepsToSolution,nodesExpanded,time
1066,784813,92.94712734222412
634,572557,69.80576419830322
542,245970,31.461858987808228
694,382287,34.4850971698761
916,354496,35.990843772888184
1048,741652,90.14169836044312
709,605269,89.55762839317322
828,217368,13.66523814201355
452,212749,16.27523136138916
1849,413966,23.953776836395264
1567,278599,10.954429149627686
633,321660,39.83509087562561
1230,847803,84.14751696586609
1322,558978,50.93471670150757
1700,888900,79.40640258789062
929,439659,41.36820077896118
387,363111,50.56094431877136
135,41336,3.045297861099243
2435,985940,65.95729279518127
1103,883870,100.29562616348267
336,253872,14.77186107635498
574,378548,45.812257051467896
1190,823060,86.22825407981873
3039,1047303,69.00659394264221
600,547837,54.68603253364563
705,767709,89.98386073112488
435,38830,1.0093274116516113
545,366673,19.059200525283813
931,407968,31.83961796760559
1280,235532,6.8133156299591064
295,238350,12.353105545043945
982,649098,61.29879379272461
1521,488615,26.84444522857666
1342,222100,6.216985702514648
1821,1030440,72.27934384346008
254,69089,3.4841854572296143
1452,660763,43.06799650192261
257,199043,15.330770015716553
1667,709654,49.88201379776001
975,741842,83.35117030143738
681,326711,24.405309438705444
1440,633728,54.767252922058105
666,582549,70.26633286476135
587,207864,14.053329467773438
1169,822062,82.76293087005615
1193,987930,96.95635557174683
1329,831623,78.12276268005371
1784,972732,96.7079930305481
931,436554,54.24942755699158
1045,708135,90.74536800384521
1133,868041,76.10647654533386
1546,685570,53.72604036331177
343,170006,8.81409502029419
243,51047,2.348544120788574
1056,561116,35.854339599609375
1348,187894,5.779795408248901
502,313848,24.27134871482849
954,796331,68.02708792686462
1282,435678,30.4274160861969
288,130904,7.974618911743164
551,585035,61.12367248535156
1399,599145,41.35864448547363
681,514935,52.69916892051697
2106,914211,77.19355797767639
484,360563,23.464410066604614
923,567305,51.636719942092896
728,562045,50.066588163375854
1102,840393,65.38640713691711
1264,693766,50.157588481903076
1502,1056882,74.82145357131958
934,724699,58.43156838417053
202,32514,1.019336462020874
742,243346,14.048165798187256
533,235741,9.735994577407837
1125,550417,27.26205039024353
806,487443,50.8792462348938
1044,614699,47.96081519126892
563,484160,47.89582848548889
963,609939,45.03686738014221
982,466022,39.45026755332947
1712,999373,78.9396538734436
1297,940709,65.45289921760559
1648,864977,61.11276030540466
922,524918,42.048423051834106
1853,746909,43.64519739151001
835,368941,23.96947717666626
495,331592,29.867838621139526
151,57595,2.4288408756256104
469,235027,14.348500728607178
196,39542,1.588221549987793
626,188485,8.52572250366211
588,287020,13.67828893661499
707,597496,49.58240604400635
2074,946631,54.434839487075806
1311,947047,80.22576475143433
1562,889626,61.50590467453003
230,29086,1.0320417881011963
1388,872186,60.046759843826294
1965,1049266,81.1195158958435
631,185714,11.159581661224365
1563,860982,73.61006593704224
428,128765,6.970041751861572
1547,777598,43.27027988433838
680,530971,43.7706298828125
618,82206,1.8718125820159912
1530,798787,50.82308578491211
2327,707894,42.08111786842346
345,72682,3.590073585510254
968,624108,55.43919229507446
1716,1026260,71.9616630077362
414,127411,7.177340030670166
1732,1029849,85.55605483055115
482,652913,62.01432156562805
1678,699902,50.48230862617493
1263,955771,78.42393279075623
2185,1051302,71.51802730560303
531,337838,25.73144030570984
975,326715,19.521784782409668
820,448278,31.500553607940674
883,496054,51.53376865386963
313,113194,6.77846884727478
1042,531100,47.99687385559082
1604,712350,57.807507038116455
395,229442,13.188340902328491
280,216229,24.477134943008423
1071,755512,63.958508014678955
2023,641759,38.06588649749756
214,23114,0.8471083641052246
1552,703448,38.151474475860596
2376,723559,42.16338920593262
640,775331,69.15408754348755
1083,719060,47.25895643234253
1598,974537,90.10192227363586
253,27496,0.6109356880187988
1140,889391,71.29909491539001
745,502058,24.82062554359436
450,189679,10.932990550994873
940,333244,24.803332567214966
1022,375625,20.618704080581665
484,379175,21.796998739242554
977,558433,52.955021142959595
1546,787203,64.57007479667664
949,831359,58.26275396347046
2150,1004694,71.35740303993225
932,663236,42.16283559799194
671,769103,63.41482162475586
524,541944,48.34837555885315
670,439452,36.169699907302856
1204,928713,67.47948670387268
2284,1017675,70.52842140197754
561,303352,17.618057012557983
1428,777297,53.64536738395691
700,197522,8.557299375534058
1542,419309,18.6727876663208
2410,1005888,45.39011907577515
1149,921687,66.67480158805847
1320,931243,75.1824140548706
356,278128,16.67804980278015
911,912616,69.24764561653137
244,172455,6.9703967571258545
669,246109,17.85593581199646
934,875734,56.933286905288696
500,234765,17.0081570148468
1989,865923,43.79981231689453
1286,808395,59.978501081466675
213,40385,1.3864860534667969
349,150827,9.778366088867188
1428,743341,55.33915853500366
1343,458887,24.848275661468506
1078,596158,45.69596719741821
1189,777101,63.161635398864746
210,33726,0.936873197555542
1625,927835,69.83382797241211
775,650601,41.408772468566895
90,6352,0.12162351608276367
693,379326,27.862264394760132
162,15923,0.44521093368530273
1497,813116,41.36591148376465
2959,1066028,89.04859566688538
1489,543810,25.328442811965942
447,570806,62.86980628967285
558,220528,8.327471733093262
1090,658671,79.43097376823425
736,217843,16.638176202774048
679,398663,50.70081639289856
830,358057,40.02317237854004
535,355015,31.231491327285767
450,270253,30.90176272392273
513,484803,46.32404637336731
1884,830865,70.46094822883606
900,729576,77.21019148826599
1835,961758,94.3967227935791
948,743361,84.23218941688538
317,272124,25.0682475566864
1265,945827,111.84193873405457
986,407762,45.987773418426514
2074,797156,62.0673189163208
671,182356,8.940493106842041
1786,438175,24.87011981010437
503,281623,33.24035859107971
849,568531,78.82765769958496
655,453607,30.58172845840454
694,404019,33.10305047035217
434,141033,8.308698654174805
1747,696663,59.106751441955566
1177,320997,21.874624490737915
1429,862232,136.7607398033142
926,666316,81.67780637741089
1590,840852,63.93058371543884
528,287509,25.563207864761353
552,318212,21.687556266784668
842,369476,28.497752904891968
489,496066,41.08503007888794
367,110809,7.141127109527588
954,490948,51.54546809196472
2050,1015719,118.59027981758118
1503,612754,43.90160822868347
1694,927734,115.61625289916992
243,173495,13.231085538864136
491,173080,10.880635499954224
132,8566,0.14499258995056152
1308,950647,76.3612072467804
112,48716,2.3139374256134033
1515,779558,70.9938006401062
1019,595194,56.43582487106323
677,515205,52.70303773880005
1523,594957,42.35404372215271
930,366923,26.08612895011902
1332,819834,73.52813363075256
450,307655,24.2529616355896
2004,967044,85.35979509353638
1096,627714,64.00199508666992
566,136864,8.8361074924469
659,380046,36.765751123428345
1126,772713,81.92930126190186
594,110322,3.4908156394958496
208,146516,6.251515626907349
796,187617,9.635684728622437
503,220340,19.61454749107361
970,351698,24.901983976364136
386,186854,14.331769227981567
408,188912,10.670472621917725
273,45059,2.5313334465026855
390,275130,26.92469620704651
1625,998298,92.0407280921936
1072,715322,73.82516670227051
987,657951,71.1540036201477
760,407270,25.731220722198486
730,401168,42.51773929595947
1134,638942,62.16923213005066
479,117583,7.413013696670532
719,103007,4.132680416107178
878,617111,60.42666792869568
892,500576,48.393409967422485
439,260740,22.033841848373413
609,337907,28.965054988861084
192,117051,6.3533008098602295
1131,143842,5.646530389785767
291,113633,8.414953231811523
600,491433,45.97059488296509
553,496028,45.09863615036011
349,170822,11.203422546386719
427,45271,1.488013744354248
1424,639797,43.39306974411011
1116,814759,95.87760329246521
980,220300,8.773070812225342
383,49544,2.0584421157836914
955,447202,22.517943143844604
622,229175,17.401738166809082
1811,797898,82.09392285346985
863,354309,30.880475997924805
1548,648559,51.155683755874634
1751,1016832,86.3779718875885
1549,983155,91.2512948513031
1298,715641,62.284098625183105
618,384021,37.27677321434021
522,244008,14.732536315917969
890,868612,83.98783731460571
907,506018,26.225385189056396
1587,882497,83.78897213935852
1159,692767,66.2701587677002
607,296327,22.49281883239746
764,429218,49.771888732910156
386,158655,10.869171857833862
1939,358727,16.896559476852417
975,598666,57.622660398483276
1356,783699,81.53590250015259
263,94508,6.168672800064087
908,476897,44.4386830329895
1181,422339,41.634623765945435
1735,1059991,86.20980978012085
2044,1012487,107.38746523857117
1297,958082,92.52174663543701
418,305855,28.58584189414978
757,666597,61.3542275428772
1438,930672,93.4876811504364
1931,661601,47.26419019699097
1586,794046,45.88566303253174
1160,653033,86.58275938034058
637,146393,6.672924518585205
1975,652740,39.577096700668335
1877,420123,20.749937295913696
1112,730282,80.63883972167969
1594,879356,80.66784763336182
1526,857860,74.03632640838623
1848,971478,76.33653593063354
1472,961579,87.73910713195801
926,910999,71.58073806762695
849,666161,67.63322377204895
676,368647,31.366037845611572
976,166250,9.979072332382202
1156,625434,41.90134024620056
968,555178,35.06853127479553
723,314604,29.091061115264893
845,567798,54.81381106376648
541,575766,57.0269455909729
605,410958,43.29555892944336
894,626080,56.16757535934448
454,99117,6.011106491088867
237,70388,3.7695329189300537
786,461376,25.50597596168518
94,24491,1.2020490169525146
426,204858,16.733593225479126
1952,1056941,98.7903561592102
633,365809,44.44838881492615
422,126682,7.761209726333618
430,248373,21.73253631591797
413,297528,22.57611346244812
1200,784088,68.40545868873596
2278,792421,53.511974573135376
809,443540,38.14594912528992
1912,785683,58.126641273498535
797,699660,69.33624935150146
151,32356,1.4744164943695068
770,315733,26.13518786430359
2193,1033348,71.43970060348511
828,697845,76.16781878471375
748,475121,47.90665411949158
940,734406,66.70332098007202
740,392266,35.72704815864563
1248,768904,52.30566382408142
912,670969,72.77212190628052
354,50428,2.2082018852233887
633,353704,17.588428497314453
39,822,0.007277250289916992
609,288384,25.573027849197388
754,241885,14.787628173828125
498,648248,70.08322739601135
512,120076,7.669837951660156
344,68483,2.6584115028381348
985,200685,10.553122758865356
726,528249,60.514742851257324
384,268000,21.433144569396973
828,395072,31.99936318397522
2623,680329,45.06337285041809
2089,1014049,91.61601448059082
1278,825243,79.46408033370972
448,192150,16.68572735786438
2381,846967,53.70015859603882
2770,1060691,69.36739301681519
1115,245565,9.340109825134277
964,448264,43.93655586242676
975,801319,82.09366273880005
934,680590,45.62309908866882
1590,743743,52.52302122116089
818,328829,24.108701944351196
960,573998,69.71620321273804
501,201531,12.43977952003479
1289,962319,93.37471461296082
582,218578,13.432657957077026
117,32792,0.9328169822692871
1066,541699,32.50141429901123
138,19094,0.8777346611022949
540,308651,30.973562717437744
553,236348,18.58466649055481
1309,914479,70.91237354278564
1277,719732,69.03398060798645
1499,735582,64.39359259605408
1690,854821,68.3480577468872
744,493432,56.48555660247803
1145,763158,80.97661828994751
2364,963960,63.047492027282715
1201,795590,83.66898941993713
925,567573,35.99033331871033
465,381179,25.4260094165802
2550,1053881,87.21112942695618
790,366081,39.470587968826294
2149,717167,50.722766160964966
660,244950,18.590260982513428
1264,815377,77.47506546974182
1599,850628,54.53490662574768
871,619096,60.68030619621277
1568,398909,21.7313973903656
692,739097,81.12806415557861
1109,964381,94.65519666671753
1534,427924,22.536378622055054
994,808425,69.34256625175476
1257,856752,80.06048107147217
1492,919534,109.45805287361145
634,501243,55.36879849433899
717,283596,19.17543053627014
227,340972,44.451043128967285
1923,1009910,91.55133056640625
379,174464,9.132741928100586
2477,811458,41.3348228931427
41,929,0.00729680061340332
251,106142,9.029855966567993
664,189512,10.284318685531616
1228,897019,96.23374009132385
1039,467955,30.257879972457886
1130,453549,32.03835201263428
964,877679,78.0518627166748
1432,886366,51.6057550907135
203,61306,2.70233154296875
875,296212,17.997230768203735
363,113896,6.207671165466309
214,92939,5.379458904266357
671,415135,34.16270065307617
403,245158,14.584603309631348
964,746016,60.4040265083313
1956,691526,43.14808964729309
359,162826,11.602460384368896
2300,765235,45.06880831718445
651,384308,20.147650957107544
607,98824,3.3768789768218994
2526,575359,30.954983711242676
688,325079,20.708405256271362
332,47889,1.3875253200531006
733,421211,42.89906620979309
893,703119,61.07658100128174
181,55706,2.3296077251434326
49,8519,0.22501063346862793
1532,807075,62.825894594192505
339,244045,11.658036708831787
731,399837,35.93598508834839
1313,883823,60.222824573516846
1024,386747,32.18787503242493
409,238239,11.41559362411499
1075,361011,21.469730377197266
427,140394,8.63856840133667
165,13168,0.33773326873779297
1431,919631,67.87724208831787
2414,971734,47.80017066001892
851,565123,48.4581196308136
154,29167,0.9720733165740967
398,540091,69.20807433128357
746,281221,14.18497347831726
374,46622,1.7424819469451904
160,63747,2.8414604663848877
479,261930,21.04062533378601
587,431041,34.22692513465881
751,467215,47.61658978462219
1062,577541,56.955973625183105
373,128047,8.807848691940308
1635,718180,47.383342027664185
2367,1014565,58.457701206207275
206,21051,0.3877236843109131
1311,1012709,85.73641467094421
2553,1006735,56.11335897445679
1111,884260,69.64563155174255
2665,1024954,55.94360041618347
366,399904,26.8749041557312
1106,741510,60.74959397315979
394,285462,22.020275592803955
1084,758911,68.41667699813843
338,174485,14.303184747695923
1711,957714,65.43170690536499
1493,668231,46.413408041000366
433,64800,2.314162254333496
1418,684492,38.51462125778198
1647,988072,78.86074566841125
838,561822,47.75034165382385
1357,978898,84.92708015441895
758,464161,46.4206645488739
1240,591669,48.701149702072144
349,90214,4.597661733627319
390,200923,9.971876859664917
662,383046,18.24575185775757
653,528391,47.53104758262634
1331,822324,66.96988821029663
1536,685147,56.490558385849
2192,902510,72.4411849975586
1623,846911,58.80838394165039
1074,228138,6.342695951461792
1009,598288,34.815637826919556
1501,881430,87.15623140335083
941,357224,16.753025770187378
729,749623,77.57483530044556
1654,841563,75.53160285949707
2446,548168,27.408209085464478
155,20136,0.7606563568115234
738,141606,5.117570400238037
297,93959,4.720866680145264
1014,325161,12.21680212020874
817,494764,58.674968957901
452,325504,26.133069276809692
1539,676815,43.591575145721436
195,62830,2.5319039821624756
1378,398222,18.53406071662903
1032,307125,16.761600494384766
156,134201,7.753082990646362
1716,996353,86.73798656463623
473,697139,67.68680214881897
219,34310,2.007920980453491
881,821333,72.44078302383423
566,649663,62.67675018310547
518,110893,6.761835813522339
463,185002,8.23335862159729
745,217044,9.486695528030396
323,212169,16.480494022369385
1973,866821,44.71011424064636
447,654700,64.47941422462463
1834,871220,47.093376874923706
768,363814,29.35279607772827
941,403579,36.26272463798523
693,298394,21.46752643585205
549,283229,13.934736013412476
1607,865448,73.1515839099884
391,160996,8.961418867111206
854,553678,59.630112171173096
1536,805223,58.91881251335144
369,235089,15.271413803100586
130,9796,0.2375783920288086
1595,873590,67.43047976493835
59,7793,0.15436840057373047
1713,940278,101.8750262260437
2067,1011906,64.58651208877563
786,241768,10.756819725036621
948,478288,34.74208188056946
1378,765507,60.338093996047974
392,189811,13.113529920578003
807,606331,60.062567472457886
262,118579,6.626436948776245
81,5245,0.061505794525146484
1618,732272,47.791748046875
1595,1016262,80.53513312339783
964,596628,45.98748850822449
687,866745,85.47318911552429
663,340733,26.65100646018982
2206,941907,77.03135776519775
236,62037,3.1145212650299072
1014,761814,69.35156154632568
786,237616,14.530256032943726
1296,891047,78.59153604507446
864,616420,47.37517690658569
546,677559,63.4080331325531
1522,848308,74.79056358337402
2870,922719,52.088242292404175
1771,961524,69.63415479660034
926,655689,63.26112341880798
2366,1030937,76.9209532737732
1287,794658,57.88694095611572
1920,1010228,85.29978632926941
1555,910562,53.82614803314209
618,443459,32.19020867347717
502,414847,35.62340760231018
523,280112,17.63912582397461
320,224639,9.612292528152466
2106,990388,76.59222459793091
86,12461,0.5414514541625977
2670,1047882,70.02447628974915
1599,892319,62.57368350028992
926,480817,37.997413873672485
1222,180131,4.338245630264282
2943,1067264,51.011120557785034
1029,545937,28.42838406562805
2139,1012049,70.70342636108398
412,122397,10.099581241607666
1986,997317,67.4284245967865
1559,793036,46.51186966896057
1207,1028278,85.98985433578491
406,184117,8.956953763961792
613,93514,2.269294023513794
832,449874,23.333836317062378
1021,481166,36.8446831703186
2232,750721,43.988849401474
1960,803381,71.65629577636719
523,314553,23.153756141662598
662,540359,54.836591720581055
358,172539,12.062309980392456
790,251972,13.836032390594482
1933,1041432,68.31818509101868
2037,987007,63.274625301361084
1001,692929,39.60610032081604
534,657239,77.22849988937378
859,729369,58.88435244560242
899,433671,36.93736982345581
898,678791,89.94513130187988
1036,526259,54.33138728141785
2100,591756,32.39852213859558
810,434147,29.854960680007935
338,123333,6.661785364151001
2238,982752,58.18128156661987
1021,345227,13.960861682891846
469,223322,18.501300811767578
704,494135,25.985544681549072
1772,953737,79.43865036964417
427,545145,70.68340682983398
2193,1054995,69.8084716796875
1894,898949,59.498993158340454
316,30864,0.7200343608856201
710,601615,59.77931332588196
2762,1026998,52.258827447891235
1119,791835,73.81684613227844
971,582260,61.03480529785156
1530,288026,9.316904306411743
559,628590,57.27438282966614
1407,711782,49.201337814331055
112,4278,0.05919361114501953
789,198629,10.86851167678833
1048,424261,37.09772276878357
2156,855917,52.085116386413574
1233,741258,56.79288363456726
131,35333,1.2872037887573242
2701,716992,42.452112436294556
507,231198,17.097574949264526
1688,962394,72.8095715045929
524,204853,18.62932801246643
1861,946654,77.49006938934326
225,89972,5.556584358215332
